"FullPath","ParentFolder","Name","Type","Extension","Length","CreationTime","LastWriteTime"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\mock_files\head.ged","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\mock_files","head.ged","File",".ged","1777","24-Jan-25 16:13:04","24-Jan-25 16:13:04"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\mock_files\head_ftm.ged","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\mock_files","head_ftm.ged","File",".ged","3","24-Jan-25 16:15:04","24-Jan-25 18:55:32"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\mock_files\mock.ged","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\mock_files","mock.ged","File",".ged","2284","16-Jan-25 13:16:07","29-Dec-24 15:46:07"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\mock_files\mock_names.ged","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\mock_files","mock_names.ged","File",".ged","2662","24-Jan-25 16:04:47","25-Jan-25 14:22:02"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\mock_files\utf16.ged","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\mock_files","utf16.ged","File",".ged","1983","26-Jan-25 08:38:17","26-Jan-25 08:38:17"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\mock_files\utf8.ged","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\mock_files","utf8.ged","File",".ged","1978","26-Jan-25 08:37:40","26-Jan-25 08:37:40"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\normalization",,"normalization","Directory","",,"10-Feb-25 13:21:43","25-Jun-25 13:30:34"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\normalization\__init__.py","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\normalization","__init__.py","File",".py","76","10-Feb-25 13:21:43","14-Feb-25 16:20:41"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\normalization\datasets",,"datasets","Directory","",,"10-Feb-25 13:24:04","11-Feb-25 21:00:37"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\normalization\datasets\date_normalization.json","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\normalization\datasets","date_normalization.json","File",".json","2567","07-Feb-25 15:05:54","09-Feb-25 16:47:56"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\normalization\datasets\early_massachusetts.json","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\normalization\datasets","early_massachusetts.json","File",".json","19499","11-Feb-25 08:45:51","11-Feb-25 08:51:16"
"C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\normalization\datasets\gaelic_name_conversion.json","C:\Users\liqui\PycharmProjects\GEDCOM_Parser_Project\gedcom_parser\normalization\datasets","gaelic_name_conversion.json","File",".json","2219","09-Feb-25 16:57:36","09-Feb-25 16:57:52"
